
="",="(1)",="(2)",="(3)",="(4)"
="",="(-16.84)",="",="(-16.69)",=""

="Children",="",="***",="",=""
="",="",="(5.50)",="",="(-0.53)"

="q5",="",="",="",=""
="Public Sector",="***",="***",="",=""
="",="(-7.12)",="(-4.09)",="(1.49)",="(1.76)"

="Experience",="***",="***",="***",="***"
="",="(8.73)",="(6.97)",="(20.71)",="(7.55)"

="Experience^{2}",="***",="***",="***",="***"
="",="(-7.50)",="(-5.41)",="(-13.85)",="(-6.60)"

="University",="***",="***",="***",="***"
="",="(11.20)",="(15.70)",="(9.81)",="(24.74)"

="Diploma / Cert",="*",="*",="**",="***"
="",="(2.44)",="(2.56)",="(2.73)",="(7.76)"

="1 child",="",="",="",=""
="",="(1.61)",="",="(-0.83)",=""

="2 children",="*",="",="",=""
="",="(2.38)",="",="(-0.81)",=""

="3 children",="*",="",="",=""
="",="(2.58)",="",="(0.04)",=""

="4+ children",="",="",="",=""
="",="(0.25)",="",="(0.59)",=""

="Poor health",="**",="***",="***",="***"
="",="(-2.90)",="(-4.28)",="(-3.40)",="(-4.51)"

="Born - Eng speaking",="*",="***",="",=""
="",="(2.14)",="(4.18)",="(0.77)",="(0.74)"

="Born - Non-Eng speaking",="***",="***",="",=""
="",="(-3.47)",="(-4.90)",="(1.13)",="(0.86)"

="Married / De Facto",="***",="***",="*",=""
="",="(3.45)",="(3.94)",="(2.25)",="(1.84)"

="Seperated / Widowed",="",="",="",=""
="",="(-0.12)",="(0.47)",="(-0.21)",="(-1.94)"

="Rural",="*",="**",="",=""
="",="(-2.44)",="(-2.64)",="(-0.02)",="(0.64)"

="VIC",="",="",="***",=""
="",="(-0.55)",="",="(-4.68)",=""

="WA",="**",="",="",=""
="",="(2.65)",="",="(-1.30)",=""

="QLD",="",="",="***",=""
="",="(-0.15)",="",="(-4.82)",=""

="SA",="***",="",="***",=""
="",="(-7.93)",="",="(-4.89)",=""

="NT",="",="",="",=""
="",="(0.57)",="",="(-0.34)",=""

="TAS",="***",="",="**",=""
="",="(-5.45)",="",="(-3.15)",=""

="ACT",="***",="",="",=""
="",="(3.88)",="",="(0.37)",=""

="Shiftwork",="***",="",="***",=""
="",="(16.04)",="",="(8.00)",=""

="Part Time",="",="",="**",="*"
="",="(1.07)",="(0.31)",="(3.28)",="(2.50)"

="41+ hours",="**",="",="",=""
="",="(3.13)",="",="(-0.16)",=""

="Casual",="",="",="***",="**"
="",="(1.87)",="(0.10)",="(4.26)",="(2.67)"

="Tenure",="*",="**",="",="**"
="",="(2.43)",="(3.17)",="(1.34)",="(3.03)"

="Wave=2",="",="**",="",="*"
="",="(-1.45)",="(-2.69)",="(-1.34)",="(-2.04)"

="Wave=3",="",="",="",=""
="",="(0.03)",="(0.17)",="(-0.20)",="(-0.60)"

="Wave=4",="",="",="",=""
="",="(0.87)",="(1.81)",="(1.12)",="(0.61)"

="Wave=5",="",="",="**",=""
="",="(0.88)",="(1.06)",="(2.64)",="(1.04)"

="Wave=6",="",="***",="**",=""
="",="(1.49)",="(4.30)",="(3.00)",="(0.97)"

="Wave=7",="**",="***",="***",=""
="",="(2.71)",="(6.64)",="(3.35)",="(1.64)"

="Wave=8",="***",="***",="***",="***"
="",="(6.00)",="(3.84)",="(3.94)",="(4.95)"

="Wave=9",="***",="***",="***",="***"
="",="(3.34)",="(3.80)",="(5.67)",="(5.21)"

="Wave=10",="***",="***",="***",="***"
="",="(4.20)",="(5.75)",="(4.46)",="(5.72)"

="Wave=11",="***",="***",="***",="***"
="",="(6.61)",="(7.58)",="(3.98)",="(4.05)"

="Wave=12",="***",="***",="***",="***"
="",="(4.83)",="(6.13)",="(5.16)",="(3.46)"

="Wave=13",="***",="***",="***",="**"
="",="(3.42)",="(6.98)",="(4.25)",="(3.26)"

="Wave=14",="***",="***",="***",="***"
="",="(4.24)",="(7.63)",="(5.63)",="(4.43)"

="Wave=15",="***",="***",="***",="***"
="",="(3.53)",="(8.82)",="(5.24)",="(3.79)"

="Wave=16",="***",="***",="***",="***"
="",="(3.92)",="(6.28)",="(7.04)",="(3.64)"

="Wave=17",="***",="***",="***",="***"
="",="(8.34)",="(8.69)",="(5.29)",="(4.62)"

="Wave=18",="***",="***",="***",="***"
="",="(3.46)",="(6.35)",="(6.23)",="(7.42)"

="Wave=19",="***",="***",="***",="***"
="",="(5.73)",="(8.34)",="(9.47)",="(8.23)"

="Technician / Trades",="***",="",="***",=""
="",="(-8.43)",="",="(-13.51)",=""

="Administration",="***",="",="***",=""
="",="(-9.27)",="",="(-13.24)",=""

="Machinery",="***",="",="***",=""
="",="(-7.58)",="",="(-5.37)",=""

="Professional",="*",="",="***",=""
="",="(-2.02)",="",="(-4.73)",=""

="Community / Service",="***",="",="***",=""
="",="(-8.55)",="",="(-15.21)",=""

="Sales",="***",="",="***",=""
="",="(-8.29)",="",="(-10.84)",=""

="Labourer",="***",="",="***",=""
="",="(-11.05)",="",="(-13.01)",=""

="Children",="",="***",="",=""
="",="",="(5.14)",="",="(-1.50)"

="Observations",="49598",="49598",="46893",="46893"

="Standardized beta coefficients; t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
