="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",=".0153785",=".0150398",="",=".0103828",=".0127109",=""
="7.wave",=".0977519",=".0946386",="",=".085299",=".0867342",=""
="",=".0158859",=".016573",="",=".010337",=".0112799",=""
="8.wave",=".0902803",=".0844895",="",=".1057536",=".0868517",=""
="",=".0182249",=".015667",="",=".0122848",=".011976",=""
="9.wave",=".1147094",=".1058103",="",=".1070686",=".1094841",=""
="",=".0148996",=".0133598",="",=".0126501",=".0117411",=""
="10.wave",=".1256962",=".1330856",="",=".1238567",=".1207326",=""
="",=".0165255",=".0159867",="",=".0118743",=".0129695",=""
="11.wave",=".1332896",=".1292869",="",=".1308169",=".1181516",=""
="",=".0164116",=".0141642",="",=".0107425",=".0111505",=""
="12.wave",=".1532529",=".1584504",="",=".1232112",=".1155867",=""
="",=".0159616",=".0159543",="",=".0110603",=".0118623",=""
="13.wave",=".1513868",=".1448035",="",=".1209851",=".1131492",=""
="",=".0168125",=".0148364",="",=".0121374",=".0121388",=""
="14.wave",=".1536754",=".1492943",="",=".1222501",=".1243617",=""
="",=".0159136",=".0139289",="",=".0133153",=".0130671",=""
="15.wave",=".1425757",=".1385738",="",=".1409538",=".1383575",=""
="",=".0170829",=".0143459",="",=".0129072",=".0139788",=""
="16.wave",=".172332",=".17278",="",=".1535902",=".1398689",=""
="",=".0155435",=".0155628",="",=".0131769",=".0136485",=""
="17.wave",=".1611908",=".1661606",="",=".1440957",=".1480553",=""
="",=".014889",=".01525",="",=".0122332",=".0131413",=""
="18.wave",=".1671623",=".1646816",="",=".173319",=".1619046",=""
="",=".0151193",=".0152198",="",=".0137481",=".0125356",=""
="19.wave",=".1988501",=".1806422",="",=".1814602",=".1742762",=""
="",=".0162251",=".015137",="",=".0132865",=".0127039",=""
="wave",="",="",=".0203359",="",="",=".015462"
="",="",="",=".0019759",="",="",=".0016532"
="occ_tech_trade",="",="-.1747225",="",="",="-.3001555",=""
="",="",=".0176683",="",="",=".0209791",=""
="occ_clerical_admin",="",="-.2243351",="",="",="-.1921481",=""
="",="",=".0182669",="",="",=".0186476",=""
