
="",="(1)",="(2)",="(3)",="(4)"
="41+ hours",="0.0247**",="",="-0.00200",=""
="",="(0.00789)",="",="(0.0128)",=""

="Casual",="0.0642",="0.00200",="0.0944***",="0.0557**"
="",="(0.0344)",="(0.0191)",="(0.0221)",="(0.0208)"

="Tenure",="0.00258*",="0.00239**",="0.00144",="0.00318**"
="",="(0.00106)",="(0.000753)",="(0.00107)",="(0.00105)"

="Technician / Trades",="-0.237***",="",="-0.452***",=""
="",="(0.0282)",="",="(0.0335)",=""

="Administration",="-0.304***",="",="-0.326***",=""
="",="(0.0327)",="",="(0.0246)",=""

="Machinery",="-0.340***",="",="-0.474***",=""
="",="(0.0448)",="",="(0.0882)",=""

="Professional",="-0.0479*",="",="-0.0943***",=""
="",="(0.0238)",="",="(0.0199)",=""

="Community / Service",="-0.347***",="",="-0.467***",=""
="",="(0.0406)",="",="(0.0307)",=""

="Sales",="-0.384***",="",="-0.473***",=""
="",="(0.0463)",="",="(0.0436)",=""

="Labourer",="-0.448***",="",="-0.525***",=""
="",="(0.0405)",="",="(0.0403)",=""

="Children",="",="0.0612***",="",="-0.0164"
="",="",="(0.0119)",="",="(0.0109)"

="Constant",="3.413***",="3.146***",="3.451***",="3.069***"
="",="(0.0428)",="(0.0441)",="(0.0189)",="(0.0428)"

="Observations",="49598",="49598",="46893",="46893"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
