="",="(1)",="(2)",="(3)",="(4)"
="Wave=19",="0.181***",="0.189***",="0.174***",="0.183***"
="",="(0.015)",="(0.016)",="(0.012)",="(0.012)"
="Technician / Trades",="-0.175***",="",="-0.300***",=""
="",="(0.017)",="",="(0.022)",=""
="Administration",="-0.224***",="",="-0.192***",=""
="",="(0.018)",="",="(0.018)",=""
="Machinery",="-0.291***",="",="-0.337***",=""
="",="(0.020)",="",="(0.032)",=""
="Professional",="-0.021",="",="-0.010",=""
="",="(0.016)",="",="(0.016)",=""
="Community / Service",="-0.240***",="",="-0.301***",=""
="",="(0.022)",="",="(0.019)",=""
="Sales",="-0.333***",="",="-0.322***",=""
="",="(0.021)",="",="(0.019)",=""
="Labourer",="-0.352***",="",="-0.368***",=""
="",="(0.021)",="",="(0.020)",=""
="Children",="",="0.041***",="",="-0.003"
="",="",="(0.012)",="",="(0.008)"
="Constant",="3.025***",="2.772***",="3.028***",="2.772***"
="",="(0.026)",="(0.020)",="(0.022)",="(0.015)"
="q4",="",="",="",=""
="Public Sector",="-0.019",="-0.006",="0.065***",="0.109***"
="",="(0.015)",="(0.016)",="(0.010)",="(0.012)"
="Experience",="0.022***",="0.027***",="0.016***",="0.021***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)"
="Experience^{2}",="-0.000***",="-0.000***",="-0.000***",="-0.000***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="University",="0.264***",="0.434***",="0.172***",="0.368***"
="",="(0.021)",="(0.021)",="(0.013)",="(0.014)"
="Diploma / Cert",="0.059***",="0.103***",="0.035***",="0.063***"
="",="(0.014)",="(0.016)",="(0.011)",="(0.012)"
="1 child",="0.014",="",="-0.020**",=""
="",="(0.015)",="",="(0.010)",=""
="2 children",="0.061***",="",="0.006",=""
="",="(0.016)",="",="(0.011)",=""
="3 children",="0.074***",="",="0.023",=""
="",="(0.027)",="",="(0.018)",=""
="4+ children",="0.005",="",="0.046",=""
="",="(0.036)",="",="(0.036)",=""
="Poor health",="-0.055***",="-0.067***",="-0.036***",="-0.041***"
="",="(0.013)",="(0.014)",="(0.009)",="(0.010)"
="Born - Eng speaking",="0.054***",="0.074***",="0.021",="0.028*"
="",="(0.021)",="(0.027)",="(0.014)",="(0.017)"
="Born - Non-Eng speaking",="-0.088***",="-0.102***",="0.020",="0.003"
="",="(0.020)",="(0.025)",="(0.013)",="(0.020)"
="Married / De Facto",="0.087***",="0.078***",="0.033***",="0.033**"
="",="(0.015)",="(0.017)",="(0.010)",="(0.013)"
="Seperated / Widowed",="0.015",="0.006",="-0.003",="-0.031*"
="",="(0.029)",="(0.036)",="(0.015)",="(0.018)"
="Rural",="-0.057***",="-0.091***",="-0.013",="-0.030**"
="",="(0.019)",="(0.021)",="(0.013)",="(0.015)"
="VIC",="-0.021",="",="-0.036***",=""
="",="(0.016)",="",="(0.012)",=""
="WA",="0.087***",="",="-0.006",=""
="",="(0.026)",="",="(0.015)",=""
="QLD",="-0.030",="",="-0.060***",=""
="",="(0.021)",="",="(0.012)",=""
="SA",="-0.114***",="",="-0.043***",=""
="",="(0.020)",="",="(0.013)",=""
="NT",="0.081",="",="-0.003",=""
="",="(0.083)",="",="(0.052)",=""
="TAS",="-0.132***",="",="-0.068***",=""
="",="(0.028)",="",="(0.019)",=""
="ACT",="0.097**",="",="0.058***",=""
="",="(0.045)",="",="(0.022)",=""
="Shiftwork",="0.141***",="",="0.078***",=""
="",="(0.016)",="",="(0.010)",=""
="Part Time",="-0.037*",="-0.074***",="0.015*",="-0.009"
="",="(0.020)",="(0.023)",="(0.008)",="(0.011)"
="41+ hours",="0.016",="",="-0.038***",=""
="",="(0.011)",="",="(0.013)",=""
="Casual",="0.026",="-0.008",="0.038***",="-0.004"
="",="(0.016)",="(0.020)",="(0.010)",="(0.013)"
="Tenure",="0.004***",="0.005***",="0.002***",="0.003***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
